TICKETS,FECHA,ZONAS,SUCURSALES,TECNICO REFERENTE,TRABAJO,PRIORIDAD,RUBRO,ESTADO,,CHECKLIST,TICKET RELACIONADO,OBSERVACIONES,RESPONSABLE,PRESUPUESTO,N PRESUP,IMAGEN,DIRECCION
0322-56865,18/3/2022,CABA,Chacarita,Aquino Diego Daniel,Piso,Normal,CIVIL,REALIZADO,,,,,,,,https://lh3.googleusercontent.com/proxy/i5CTGrYXULVvCCmWzHiK3PWlEBr0VIE_UYdcr6BuMK-uAb85tdi0wi5GsFG5o3UBbOoCpAUkP9SuRhhI4_ypcjAzSVkaYaVBaXro3M3haClrYIGdBHTYonwt1CycLCyYmpgJRfJZhS2i2GGWgLlIzt0VrE0uVqnCNcRMx5W2qUAb=w408-h726-k-no,"Av. Federico Lacroze 4164, C1427EDT CABA"
0322-56866,18/3/2022,OESTE,Agencia Fco. Alvarez,Encalada Roberto Nahuel,Puerta ingreso e inodoro,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipODCsca5gDnVgcxQPSTpjLA82Za2sag46Ttqlss=w408-h725-k-no,"Diario la Nacion 2052, B1746 Francisco Alvarez, Provincia de Buenos Aires"
0322-56867,18/3/2022,EDIFICIOS,Edificio French,Aquino Diego Daniel,Bastidor/Ramponi,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
0322-56868,18/3/2022,CABA,San Cristobal,Aquino Diego Daniel,Placas techo y luminarias,Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F4jbWIoWySZl94J_aK0lqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.7428&pitch=0&thumbfov=100,"Av. San Juan 3001, C1233ABA CABA"
0322-56869,18/3/2022,CABA,CDD 39,Aquino Diego Daniel,Sin luz,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bOtlCamJ8rZ7m7KbNmEUqQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=214.8946&pitch=0&thumbfov=100,Murguiondo 3961 C1439FQU CABA
0322-56870,18/3/2022,CABA,CDD 5,Aquino Diego Daniel,Otra luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_XkwP-pyZ8Quh0eiRjIA3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=329.48444&pitch=0&thumbfov=100,"Antonio Machado 649, C1405DIC CABA"
0322-56871,18/3/2022,OESTE,Merlo,Encalada Roberto Nahuel,Turnero,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=whu_ZLx0juXJQzSpoHukcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.47855&pitch=0&thumbfov=100,"Av. del Libertador 556, Merlo, Provincia de Buenos Aires"
0322-56872,18/3/2022,SUR,CDD Lanús,Sarmiento Ariel,Caja punto y luminarias,Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u2rvdN9oA1JQ0iEhtNeXOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.91458&pitch=0&thumbfov=100,"Vélez Sársfield 1371, B1824 Lanús, Provincia de Buenos Aires"
0322-56873,18/3/2022,NORTE,CDD J. C. Paz,Encalada Roberto Nahuel,Extractor,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gqiAYJ30mWvbala4Wi3aRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.6145&pitch=0&thumbfov=100,"Roque Sáenz Peña no 5009, José C. Paz, Provincia de Buenos Aires"
0322-56874,18/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Natalia Cabrera,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56875,18/3/2022,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Falta iluminación en el depósito de franqueadoras/2 piso,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56876,18/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Filtración dársena 51/Natalia Cabrera,Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56877,18/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Miguel Diaz (int. 1912),Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56878,18/3/2022,CABA,CDD Banfield,Sarmiento Ariel,Luminarias de la Jefatura de Area/Pavioni,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QD2BBh2FQgqtT6IZfDC5DA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.87666&pitch=0&thumbfov=100,"Antonio Berutti 1248, Banfield, Provincia de Buenos Aires"
0322-56879,18/3/2022,CABA,Catalinas,Aquino Diego Daniel,Luminaria,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NU5oUn3_iMgUCsVIRY4wag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.1326&pitch=0&thumbfov=100,"Av. Leandro N. Alem 616, C1001 AAO, Buenos Aires"
0322-56880,18/3/2022,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Colocar tachos/Kloster,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
0322-56881,18/3/2022,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Desmontar reja y colocar cierre,Emerg prog,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56882,21/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Baño playa e/dársenas 12 y 13 no tiene luz,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56883,21/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Problema eléctrico/Sergio Carloni,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56884,21/3/2022,SUR,CDD Bernal,Sarmiento Ariel,Trabajos varios,Normal,VARIOS,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOYs6ubhzqN3MBReuqmHhpB3Bt0RrpJ1Pv6nrxl=w426-h240-k-no,"Av. Los Quilmes 1938, Bernal Oeste, Provincia de Buenos Aires"
0322-56885,21/3/2022,EDIFICIOS,Suc. Ctro. Postal Internacional,Jara Benitez Rodrigo,Tubo del sector expo,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM2gQmhZSowiKsslaTrSCdUty1zUngRhMo0nKvJ=w408-h306-k-no,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56886,21/3/2022,SUR,CDD Berazategui,Sarmiento Ariel,Baño hombres y luminarias,Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,"Av. Rigolleau 4457, B1884 Berazategui, Provincia de Buenos Aires"
0322-56887,21/3/2022,CABA,Aeroparque,Aquino Diego Daniel,Reparar valla,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,SUC_Images/9.IMAGEN.220254.png,"Aeroparque Internacional Jorge Newbery, Buenos Aires"
0322-56888,21/3/2022,SUR,Florencio Varela,Sarmiento Ariel,Iluminación en el sector pasa paquetes,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOhvlv_exmMJ1nHMi0jBs2I2c1CGtSYo2kyiKQC=w426-h240-k-no,"España 3212, B1888 Florencio Varela, Provincia de Buenos Aires"
0322-56889,21/3/2022,NORTE,CDP Vte. Lopez/Pelliza 3780,Cuello Francisco Waldemar,Sin agua en el sector Correo Compras/Analia Bravo,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gID75-35HrlbCpGAW6m6UQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.45749&pitch=0&thumbfov=100,"Mariano Pelliza 3750, B1636FER Olivos, Provincia de Buenos Aires"
0322-56890,21/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Trabajos varios/Pablo Arrieta,Normal,VARIOS,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56891,21/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Omar Pizarro,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56892,21/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Cerrajeria/Pablo Arizaga (int. 1384),Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56893,21/3/2022,OESTE,CDD Tapiales,Encalada Roberto Nahuel,Luminarias,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,SUC_Images/171.IMAGEN.134646.jpg,"Humaita 1156, Tapiales, Provincia de Buenos Aires"
0322-56894,21/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Alfombra/Gerente Guzzetti,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56895,21/3/2022,EDIFICIOS,Edificio French,Aquino Diego Daniel,Termo/Eduardo Ochoa,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
0322-56896,21/3/2022,SUR,Burzaco,Sarmiento Ariel,Colocar fenolico,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GJZ7Zox_SzI-lWh_1dQtdg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=208.13156&pitch=0&thumbfov=100,"Roca 983, B1852FCT Burzaco, Provincia de Buenos Aires"
0322-56897,21/3/2022,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Verificar largueros y trabas/Caraccio,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
0322-56898,21/3/2022,SUR,CDD Berazategui,Sarmiento Ariel,Estufas,Normal,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,"Av. Rigolleau 4457, B1884 Berazategui, Provincia de Buenos Aires"
0322-56899,21/3/2022,NORTE,San Martin,Cuello Francisco Waldemar,Poner en valor tanque de reserva,Emerg prog,CIVIL,REALIZADO,,,,,,,,SUC_Images/118.IMAGEN.001149.png,"Inte A M Campos 1951, B1650 General San Martin, Provincia de Buenos Aires"
0322-56900,21/3/2022,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajeria/Stephanie Bondi,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
0322-56901,21/3/2022,OESTE,Paso del Rey,Encalada Roberto Nahuel,Rajaduras en el techo,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOy_7rzgToUY6Yp6SVam7kl0GscUyYuMFm_d_jt=w408-h503-k-no,"Dr, Salvador María del Carril 52, B1742 Paso del Rey, Provincia de Buenos Aires"
0322-56902,21/3/2022,NORTE,CDD Vicente López,Cuello Francisco Waldemar,Sin agua,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gID75-35HrlbCpGAW6m6UQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.45749&pitch=0&thumbfov=100,"Mariano Pelliza 3750, B1636FER Olivos, Provincia de Buenos Aires"
0322-56903,21/3/2022,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Silla de Longchamps,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56904,21/3/2022,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Silla de Llavallol,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56905,21/3/2022,CABA,Plaza R. Peña,Aquino Diego Daniel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPzt6CI74dzTlhpOcW3eW9rnZyN2KQigLjnEsrl=w408-h306-k-no,"Uruguay 1069, C1016 CABA"
0322-56906,21/3/2022,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajeria/Matias Craviotto,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
0322-56907,21/3/2022,NORTE,San Martin,Cuello Francisco Waldemar,Portero,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,SUC_Images/118.IMAGEN.001149.png,"Inte A M Campos 1951, B1650 General San Martin, Provincia de Buenos Aires"
0322-56908,22/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Control Prioritario (int. 1127),Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56909,22/3/2022,CABA,Belgrano,Aquino Diego Daniel,Cortina,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=14A-qhUz_cYp4lQImVyGtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.51719&pitch=0&thumbfov=100,"Av. Cabildo 2349, C1428AAF CABA"
0322-56910,22/3/2022,NORTE,CDD J. C. Paz,Encalada Roberto Nahuel,Baño hombres,Emerg prog,SANITARIO,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gqiAYJ30mWvbala4Wi3aRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.6145&pitch=0&thumbfov=100,"Roque Sáenz Peña no 5009, José C. Paz, Provincia de Buenos Aires"
0322-56911,22/3/2022,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Ventiladores/Yesica Nieva,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
0322-56912,22/3/2022,CABA,Colegiales,Aquino Diego Daniel,Puerta,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://lh4.googleusercontent.com/proxy/NzuTv2mQDR39U2IDws5eNJ3ycCsEHOQVzDrskQt0Gp7pC0YdCGCTE17JU1OwoIykTXQt3pvOtw52yHRZjNkYv-SxWD1yhlSZNn_1v4fqrFSzRJ8jyqAKEEA6gFRU0FrjN2JpE3D2244jcfk_kCeWU1o8mg8Oz6s-Wp2jwM4u_1Hd=w427-h240-k-no,"Av. Federico Lacroze 2476, C1426 CABA"
0322-56913,22/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Ajustar muebles/Alfredo Romano,Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56914,22/3/2022,EDIFICIOS,Edificio French,Aquino Diego Daniel,Impermeabilización/Daniel Altamirano,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
0322-56915,22/3/2022,NORTE,CDD San Martin,Cuello Francisco Waldemar,Problemas eléctricos en la Jefatura de Area/Santagada,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,SUC_Images/118.IMAGEN.001149.png,"Inte A M Campos 1951, B1650 General San Martin, Provincia de Buenos Aires"
0322-56916,22/3/2022,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajeria/Eduardo Rebella,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
0322-56917,22/3/2022,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Tandem sillas de Bella Vista,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56918,22/3/2022,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Tandem sillas de El Palomar,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56919,22/3/2022,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Sillas altas de San Miguel,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
0322-56920,22/3/2022,CABA,CDD 30,Aquino Diego Daniel,Cortina y puerta,Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YJwOSzXFJeDtEICacLkKdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=150.18808&pitch=0&thumbfov=100,Av. Monroe 3390 C1430BKN CABA
0322-56921,22/3/2022,CABA,Abasto,Aquino Diego Daniel,Luminarias y puerta/Ver a Lopresti RR.HH. y Escudero Judiciales,Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7iDLN9ukuGxTUEDuSsQOGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.8028&pitch=0&thumbfov=100,"Av. Corrientes 3702, C1194AAQ CABA"
0322-56922,22/3/2022,CABA,CDD 17,Aquino Diego Daniel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N9GcHjdJZZRlvlPklGoiVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.31091&pitch=0&thumbfov=100,"Helguera 2901, C1417CQO CABA"
0322-56923,23/3/2022,CABA,Plaza R. Peña,Aquino Diego Daniel,Problemas eléctricos,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPzt6CI74dzTlhpOcW3eW9rnZyN2KQigLjnEsrl=w408-h306-k-no,"Uruguay 1069, C1016 CABA"
0322-56924,23/3/2022,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Puerta baño damas/Adrian Pereyra (int. 1292),Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
0322-56925,23/3/2022,SUR,José Mármol,Sarmiento Ariel,Estante,Normal,CIVIL,REALIZADO,,,,,,,,https://lh6.googleusercontent.com/proxy/KWNgzanf-gIhPkhRUHkF27Jfo9LlHgQ87bKpn74shcBpEXxrcZWNxh7yXIE8kBJfWh8Etk46ZeMgH8L8gRKEo6euqvspr-yFZScZSkXtwd53GTFvvcW6g-y5PkQLXqOOVrmDCe3s6AcrZVfbyYw2rGeZBEXQpu6BTTLUhmaCb1XA=w408-h306-k-no,"Bartolomé Mitre 2204, B1845 José Marmol, Provincia de Buenos Aires"
0322-56926,23/3/2022,OESTE,CDD San Justo,Encalada Roberto Nahuel,Reubicar luces y tomas,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipND-sedo6PM6xgMCiOtrywX6-aJ6fDEU_CqIikT=w408-h306-k-no,"Almafuerte 3171, B1754 San Justo, Pr,ovincia de Buenos Aires"
0322-56927,23/3/2022,OESTE,CDD Morón,Encalada Roberto Nahuel,Tema baño,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XTLs7xW8AKbn_6tXGOALqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.12897&pitch=0&thumbfov=100,"República Oriental del Uruguay 346, B1708JFH Morón, Provincia de Buenos Aires"
0322-56928,25/3/2022,NORTE,CDD Ing. Maschwitz,Cuello Francisco Waldemar,Portón,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QKMkpHNGjw6XYFpnVDcYOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.69051&pitch=0&thumbfov=100,"La Plata 1125, B1623 ESW, Provincia de Buenos Aires"
0322-56929,25/3/2022,NORTE,Victoria,Cuello Francisco Waldemar,Depósito del baño,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E8pXsXiZ08f9Sjf0CFJPuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.98686&pitch=0&thumbfov=100,"Av. Pres. Juan Domingo Perón 2579, B1644 Victoria, Provincia de Buenos Aires"
0322-56930,25/3/2022,SUR,CDD Berazategui,Sarmiento Ariel,Depósitos,Normal,SANITARIO,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,"Av. Rigolleau 4457, B1884 Berazategui, Provincia de Buenos Aires"
0322-56931,25/3/2022,NORTE,CDD San Miguel,Encalada Roberto Nahuel,Colocar luz y ventiladores,Emerg prog,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZPWub2nJ8CUWyEcbIua0lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=311.23642&pitch=0&thumbfov=100,"Belgrano 1374, B1663NMA San Miguel, Provincia de Buenos Aires"
0322-56932,25/3/2022,OESTE,CDD Ramos Mejia,Encalada Roberto Nahuel,Luminarias,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LpASo17n_LbiSOMFDBUz_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.29376&pitch=0&thumbfov=100,"Av. Rivadavi:a 14178, Ramos Mejía, Provincia de Buenos Aires"
0322-56933,25/3/2022,SUR,Monte Grande,Sarmiento Ariel,Llave luz baño damas,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E3VHyHOigf70OGrcE0sE3w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.42199&pitch=0&thumbfov=100,"Vicente López 448, B1842AUJ Monte Grande, Provincia de Buenos Aires"
0322-56934,25/3/2022,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Cocina de Sistemas/Bigos,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0322-56935,25/3/2022,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Mingitorios/Carolina Diaz,Normal,SANITARIO,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
0322-56936,25/3/2022,CABA,CDD 37,Aquino Diego Daniel,Portero,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3vuB1E79Zj_LfyNNB3y_FQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=129.24857&pitch=0&thumbfov=100,"Ventura de la Vega 3940, C1437 CABA"
